text,label
This is example text number 0,1
This is example text number 1,1
This is example text number 2,1
This is example text number 3,0
This is example text number 4,1
This is example text number 5,0
This is example text number 6,0
This is example text number 7,0
This is example text number 8,1
This is example text number 9,0
This is example text number 10,1
This is example text number 11,1
This is example text number 12,1
This is example text number 13,0
This is example text number 14,0
This is example text number 15,0
This is example text number 16,1
This is example text number 17,1
This is example text number 18,0
This is example text number 19,1
This is example text number 20,1
This is example text number 21,1
This is example text number 22,1
This is example text number 23,1
This is example text number 24,1
This is example text number 25,1
This is example text number 26,1
This is example text number 27,1
This is example text number 28,0
This is example text number 29,0
This is example text number 30,1
This is example text number 31,1
This is example text number 32,1
This is example text number 33,1
This is example text number 34,1
This is example text number 35,0
This is example text number 36,0
This is example text number 37,1
This is example text number 38,1
This is example text number 39,0
This is example text number 40,0
This is example text number 41,1
This is example text number 42,0
This is example text number 43,0
This is example text number 44,1
This is example text number 45,0
This is example text number 46,1
This is example text number 47,1
This is example text number 48,1
This is example text number 49,0
This is example text number 50,1
This is example text number 51,0
This is example text number 52,1
This is example text number 53,0
This is example text number 54,1
This is example text number 55,1
This is example text number 56,0
This is example text number 57,0
This is example text number 58,1
This is example text number 59,1
This is example text number 60,1
This is example text number 61,1
This is example text number 62,0
This is example text number 63,1
This is example text number 64,0
This is example text number 65,0
This is example text number 66,0
This is example text number 67,0
This is example text number 68,1
This is example text number 69,0
This is example text number 70,0
This is example text number 71,0
This is example text number 72,0
This is example text number 73,0
This is example text number 74,0
This is example text number 75,1
This is example text number 76,0
This is example text number 77,0
This is example text number 78,1
This is example text number 79,1
This is example text number 80,1
This is example text number 81,1
This is example text number 82,1
This is example text number 83,0
This is example text number 84,0
This is example text number 85,1
This is example text number 86,1
This is example text number 87,1
This is example text number 88,1
This is example text number 89,1
This is example text number 90,1
This is example text number 91,1
This is example text number 92,1
This is example text number 93,0
This is example text number 94,0
This is example text number 95,0
This is example text number 96,0
This is example text number 97,1
This is example text number 98,0
This is example text number 99,0
This is example text number 100,0
This is example text number 101,0
This is example text number 102,0
This is example text number 103,0
This is example text number 104,0
This is example text number 105,1
This is example text number 106,0
This is example text number 107,1
This is example text number 108,1
This is example text number 109,0
This is example text number 110,0
This is example text number 111,0
This is example text number 112,1
This is example text number 113,0
This is example text number 114,1
This is example text number 115,0
This is example text number 116,1
This is example text number 117,0
This is example text number 118,0
This is example text number 119,0
This is example text number 120,0
This is example text number 121,0
This is example text number 122,0
This is example text number 123,0
This is example text number 124,0
This is example text number 125,1
This is example text number 126,0
This is example text number 127,1
This is example text number 128,0
This is example text number 129,0
This is example text number 130,0
This is example text number 131,1
This is example text number 132,0
This is example text number 133,0
This is example text number 134,0
This is example text number 135,1
This is example text number 136,1
This is example text number 137,1
This is example text number 138,1
This is example text number 139,1
This is example text number 140,1
This is example text number 141,1
This is example text number 142,0
This is example text number 143,0
This is example text number 144,0
This is example text number 145,1
This is example text number 146,1
This is example text number 147,0
This is example text number 148,1
This is example text number 149,0
This is example text number 150,0
This is example text number 151,1
This is example text number 152,0
This is example text number 153,1
This is example text number 154,1
This is example text number 155,1
This is example text number 156,0
This is example text number 157,0
This is example text number 158,0
This is example text number 159,1
This is example text number 160,0
This is example text number 161,1
This is example text number 162,1
This is example text number 163,1
This is example text number 164,0
This is example text number 165,1
This is example text number 166,1
This is example text number 167,1
This is example text number 168,1
This is example text number 169,1
This is example text number 170,1
This is example text number 171,1
This is example text number 172,1
This is example text number 173,1
This is example text number 174,1
This is example text number 175,0
This is example text number 176,0
This is example text number 177,1
This is example text number 178,1
This is example text number 179,0
This is example text number 180,0
This is example text number 181,0
This is example text number 182,1
This is example text number 183,0
This is example text number 184,1
This is example text number 185,0
This is example text number 186,0
This is example text number 187,1
This is example text number 188,0
This is example text number 189,1
This is example text number 190,0
This is example text number 191,0
This is example text number 192,0
This is example text number 193,1
This is example text number 194,1
This is example text number 195,1
This is example text number 196,1
This is example text number 197,0
This is example text number 198,0
This is example text number 199,1
This is example text number 200,0
This is example text number 201,0
This is example text number 202,0
This is example text number 203,0
This is example text number 204,0
This is example text number 205,0
This is example text number 206,1
This is example text number 207,0
This is example text number 208,1
This is example text number 209,0
This is example text number 210,1
This is example text number 211,1
This is example text number 212,1
This is example text number 213,1
This is example text number 214,0
This is example text number 215,0
This is example text number 216,0
This is example text number 217,1
This is example text number 218,0
This is example text number 219,0
This is example text number 220,1
This is example text number 221,0
This is example text number 222,1
This is example text number 223,0
This is example text number 224,1
This is example text number 225,0
This is example text number 226,1
This is example text number 227,1
This is example text number 228,0
This is example text number 229,0
This is example text number 230,0
This is example text number 231,0
This is example text number 232,0
This is example text number 233,0
This is example text number 234,1
This is example text number 235,1
This is example text number 236,0
This is example text number 237,1
This is example text number 238,1
This is example text number 239,0
This is example text number 240,1
This is example text number 241,0
This is example text number 242,1
This is example text number 243,0
This is example text number 244,1
This is example text number 245,0
This is example text number 246,1
This is example text number 247,1
This is example text number 248,1
This is example text number 249,1
This is example text number 250,0
This is example text number 251,1
This is example text number 252,0
This is example text number 253,0
This is example text number 254,1
This is example text number 255,1
This is example text number 256,0
This is example text number 257,1
This is example text number 258,0
This is example text number 259,1
This is example text number 260,0
This is example text number 261,1
This is example text number 262,0
This is example text number 263,1
This is example text number 264,0
This is example text number 265,1
This is example text number 266,1
This is example text number 267,1
This is example text number 268,1
This is example text number 269,0
This is example text number 270,1
This is example text number 271,1
This is example text number 272,0
This is example text number 273,1
This is example text number 274,0
This is example text number 275,0
This is example text number 276,1
This is example text number 277,0
This is example text number 278,0
This is example text number 279,1
This is example text number 280,0
This is example text number 281,0
This is example text number 282,0
This is example text number 283,0
This is example text number 284,0
This is example text number 285,1
This is example text number 286,1
This is example text number 287,0
This is example text number 288,0
This is example text number 289,0
This is example text number 290,0
This is example text number 291,1
This is example text number 292,0
This is example text number 293,1
This is example text number 294,1
This is example text number 295,1
This is example text number 296,0
This is example text number 297,1
This is example text number 298,0
This is example text number 299,1
This is example text number 300,0
This is example text number 301,1
This is example text number 302,0
This is example text number 303,0
This is example text number 304,1
This is example text number 305,0
This is example text number 306,1
This is example text number 307,1
This is example text number 308,1
This is example text number 309,1
This is example text number 310,1
This is example text number 311,1
This is example text number 312,1
This is example text number 313,0
This is example text number 314,1
This is example text number 315,0
This is example text number 316,1
This is example text number 317,1
This is example text number 318,0
This is example text number 319,0
This is example text number 320,0
This is example text number 321,1
This is example text number 322,0
This is example text number 323,1
This is example text number 324,1
This is example text number 325,0
This is example text number 326,0
This is example text number 327,0
This is example text number 328,0
This is example text number 329,0
This is example text number 330,0
This is example text number 331,1
This is example text number 332,0
This is example text number 333,1
This is example text number 334,1
This is example text number 335,0
This is example text number 336,0
This is example text number 337,0
This is example text number 338,1
This is example text number 339,0
This is example text number 340,1
This is example text number 341,0
This is example text number 342,0
This is example text number 343,1
This is example text number 344,0
This is example text number 345,1
This is example text number 346,1
This is example text number 347,0
This is example text number 348,0
This is example text number 349,1
This is example text number 350,0
This is example text number 351,1
This is example text number 352,0
This is example text number 353,0
This is example text number 354,1
This is example text number 355,0
This is example text number 356,0
This is example text number 357,0
This is example text number 358,1
This is example text number 359,1
This is example text number 360,0
This is example text number 361,0
This is example text number 362,0
This is example text number 363,1
This is example text number 364,1
This is example text number 365,1
This is example text number 366,0
This is example text number 367,1
This is example text number 368,1
This is example text number 369,1
This is example text number 370,1
This is example text number 371,1
This is example text number 372,1
This is example text number 373,1
This is example text number 374,0
This is example text number 375,1
This is example text number 376,1
